rating,text,word_count,food,service,place,cost
5 sao,"đồ ăn tươi ngon, không gian sang trọng, rộng, thoáng. poseidon là lựa chọn đầu tiên khi mình nghĩ đến hải sản. nhân viên chi nhánh gò vấp thân thiện, vui vẻ, niềm nở.",34,2,2,2,0
5 sao,"đồ ăn tươi,ngon nhân viên phục vụ nhiệt tình,10 điểm không có nhưng",13,2,2,0,0
5 sao,"hải sản chi nhánh này tươi ngon, bửa còn có tôm mũ ni, các món đi kèm món nào cũng ngon, nói chung đáng tiền",25,2,0,0,2
1 sao,"hôm qua mình có đi nhóm 10 người , thái độ phục vụ thì phải nói là tệ vô cùng tệ , vô cả buổi nhờ nhân viên lấy chén lấy tăm để ăn ốc cả buổi phải nói đi nói lại 2 3 lần nhân viên mới đem ra , ăn bill hơn 6tr6 mà nhận lại được thái độ này mọi người chấp nhận được không ? còn nữa sau khi ăn về mình bị đau bụng và tiêu chảy quằng quại cả đêm, thậm chí chung nhóm của mình còn có 2 bạn bị ngộ độc đến mức nhập viện , mình xin khẳng định luôn sau khi ăn về mình không ăn thêm bất cứ thứ gì vì lúc đó về cũng là hơn 9g rồi nhưng hôm nay điện để khiếu nại thì nhận lại được thái độ vô cùng ba chấm của bộ phận cskh ở đây , đòi mình phải đưa ra bằng chứng cho việc bị ngộ độc, những bạn đi viện thì ổn có hoá đơn vậy những bạn bị ngộ độc đau bụng thì đòi bằng chứng đâu ra ? thậm chí còn nói với cái giọng điệu là bên mình mà không có bằng chứng là bên đó sẽ không giải quyết cho bên mình , cũng sẽ không bồi thường cho những bạn bị ngộ độc. hôm qua đi ăn chung với mọi người chung tổ ở cty, sáng nay nghỉ hơn nữa tổ vì bị ngộ độc nhưng đòi lại công bằng thì kêu không có bằng chứng không giải quyết. bỏ ra gần 7tr để nhận về những thứ như thế này đây hả ? một nhà hàng cũng gọi là cao cấp nhưng cách giải quyết vấn đề lại vô cùng hời hợt và thiếu chuyên nghiệp, mình sẽ không bao giờ quay lại đây , khuyên mọi người ai đang có ý định đi thì đọc đánh giá của mình và suy nghĩ lại nhé !",332,1,1,0,1
5 sao,"hải sản khá tươi, các món có phô mai hơi ngọt nên đặt bàn, rất đông",16,2,0,0,0
5 sao,"mình đi 5 người, giá vé 508 vnd, thêm nước giá khoảng 570 vndngười. hải sản rất ngon, bao gồm nhiều loại : tôm càng, ghẹ, cua, bào ngư, hàu, ốc hương. size to, thịt chắc, nói chung rất chất lượng. quầy line có nhiều món : súp, ngao 2 cồi hấp, ốc bươu hấp, ốc hương chế biến, cua sốt, ốc hút, nước ngọt và nước trái cây sẽ gọi riêng và tính tiền riêng. bất tiện khách đông nên khu hải sản phải chờ lên món. mấy anh đầu bếp siêu dễ thương khi yêu cầu là làm liền, nhạy bén khi chia các loại hải sản thực khách, không để 1 người lấy quá nhiều . sẽ giới thiệu bạn bè và quay lại khi có dịp.",128,2,2,0,0
4 sao,"mình gọi đặt bàn khắp nơi mà chỗ nào cũng báo hết sạch bàn. mà lò dò đi ra xem thử nếu hết thật thì ăn quán khác thì cả cái chi nhánh chắc được 20 người ngồi ăn. mình vào hỏi thử thì nhân viên báo vẫn còn bàn, mãi 2 tiếng sau mình đi về mà vẫn còn nhiều bàn trống. chả hiểu cơ chế đặt bàn là như nào? về đồ ăn thì nếu bạn chưa ăn chỗ khác thì chắc là thấy ổn. còn nếu đã ăn bên cửu vân long thì bên này chỉ 6bao tay trên 1 bàn 6 người chỉ có 1 cặp, không dây cột tóc,. đồ ăn thì mình ăn cảm thấy hụt hẫng hẳn. ngay cả bít tết hay ốc hương ăn cũng thua quán bình dân, ốc hương hơi đắng, cua ghẹ bể hoặc lủng mai nên nước vào ăn mất ngọt",154,1,1,0,0
2 sao,hồi trước ăn rất ổn. từ ngày đổi thành premium thật sự tệ quá mất đi nét riêng từ đầu không muốn quay lại buffe lẩu mà cho cái tô vậy là buffe lẩu dữ chưa giá : 650 vnd người mà tệ vậy thì nên coi lại nhé,48,1,0,0,1
5 sao,"buffet ngon và ổn trong tầm giá, đồ tươi. không gian rộng.",12,2,0,2,2
5 sao,"hải sản tươi ngon, cua chắc lắm. cá mú hấp ngon lắm nhé, không có bị tanh hay gì luôn.",20,2,0,0,0
4 sao,"đa phần đều khá ổn, trừ cua ra vì nhóm mình ăn đều thấy cua bị rã thịt không tươi để có thể ăn ổn.",26,1,0,0,0
