rating,text,word_count,food,service,place,cost
1 sao,nhân viên lễ tân thái độ xử lí tình huống rất dở thái độ lòi lõm ăn nói không đàng hoàng lúc nói thế này lúc nói thế kia có vẻ không ưa khách hàng dẫn đến có trải nghiệm không tốt trải nghiệm ăn lúc 11h30,47,0,1,0,0
5 sao,"không gian thoáng, nhân viên dễ thương, refill đồ nhanh, take care khách hàng tốt.",15,0,2,2,0
1 sao,"mình ăn lúc 3h49 chiều nay đồ ăn refill rất chậm nhắc mới đem ra, tô đựng chả cá và chén nước chấm không thấy nhân viên refill kiếm để nước chấm thì không có chén nào mình lướt đánh giá mới thấy gặp trường hợp giống mình có cước rửa chén dính dô đồ ăn, còn gà các món chiên thì nguội, cứng nhé thấy trải nghiệm dookki càng ngày tệ không chỉ chi nhánh này còn những chi nhánh khác không xứng với số tiền 150 vndngười cũng không có máy lạnh cảm thấy nóng",96,1,1,1,1
1 sao,"tôi nhân viên thêm 1 đôi đũa nhân viên trả lời : em fill đủ đũa cho c rồi mà tôi. : chị xin thêm 1 đôi bạn tôi có nói đũa này lỡ gắp thịt sống ùi nhân viên trả lời : để làm gì? tôi. : - bạn nhân viên này làm dịch vụ mà hỏi đổng khách, xong kiểu thái độ quá zậyy ?",65,0,1,0,0
1 sao,"không gian ồn ào phức tạp, nhân viên quán phục vụ tệ, đã gửi thông tin xuất hoá đơn nhưng 05 ngày chưa nhận được email",26,0,1,1,0
4 sao,"đi hôm 3112 được cái kha may mắn khi đến trước khi quá đông nhân viên refill đồ ăn liên tục, chu đáo nhanh chóng đồ ăn ở đây thấy gà có vẻ mềm hơn các chi nhánh khác không khí không bị quá chật chội em bé mình thích là được haha",53,2,2,2,0
5 sao,"cảm ơn mấy anh chị ca tối 105 rất nhều ạ. chi nhánh phan văn trị là nơi tôi thường đến ăn vào những dịp cuối tuần, họp mặt bạn bè hay người thân. các anh chị thân thiện, nhiệt tình hỗ trợ, cơ sở vật chất đổi mới, vệ sinh sạch sẽ",54,0,2,2,0
1 sao,mình đi lúc t2 18h chiều. mà dô đồ ăn còn rất rất ít. mình thấy có fill đồ ăn mà không đáng kể. mỗi lần fill có chút xíu chút xíu. chưa kịp lại lấy đã hết. tokbokki có nhân thì chỉ fill có 2 loại. có quầy rau có đủ quầy line tok có le que để cho có. quán thì không đông. mình thấy còn rất nhiều bàn. mình dô thì bạn lễ tân áo đen nói hết bàn. nói chuyện nhăn mặt. bạn nữ phục vụ áo đỏ tóc ngắn mặt thái độ không niềm nở fill đồ bát dĩa mới cứ làm như quăn trên bàn. nếu quán thật sự đông mình có thể thông cảm các bạn làm mệt. quán không đông mà thái độ nhân viên như vậy.,134,1,1,0,0
5 sao,"giá là 153 vnd 1 người nhé, đồ ăn ngon, sốt lẩu ngon, thịt heo được cho cũng ngon đồ ăn sẵn quá ngon, thấy hỏng gì chê, nhưng hên xui có ngày đi không sao có ngay đi về bị tieu chảy. tôi ăn bình thường tới phút 20 là muốn gục ngã rồi, học theo công thức trên tiktok pha sốt lẩu, cơm trộn rồi thịt heo xào,. ta nói bá cháy bọ chét luôn á chèn, phải nói là tận dụng triệt để 1h30p để ăn luôn á, gần hết giờ còn phải tranh thủ ăn á là hỉu gòi nhé, ai ăn nhanh ngán thì học theo trên tt nhé, hạn chế uống nc ngọt nhìu vaf ăn cơm nhiều vì sẽ dễ nhanh no nè. tôi đi buổi trưa á sẽ khá vắng, buổi tối là phải xếp hàng lâu đó nhé",145,2,0,3,3
5 sao,"chi nhánh này phục vụ tốt, đồ ăn ngon, nhân viên refill thức ăn trên quầy liên tục, không như các chi nhánh khác bị thiếu thức ăn hoặc thức ăn có vấn đề . không gian sạch sẽ, ổn áp. lần sau sẽ tiếp tục trải nghiệm tiếp.",49,2,2,2,0
2 sao,"mình đến lúc 14h chiều quầy line món có món không đợi 20p refill lên được thì đồ nguội lạnh, đá cũng hết khi nhân viên vẫn đang rãnh. mỳ gói hàn cũng hết mình phải dùng đỡ mì gói bình thường. trong khi lúc mình tới quán chỉ có 5-6 bàn khách thôi. đã có nhiều lần như vậy nhưng lần này mình tới thật sự rất tệ.",68,1,1,0,0
5 sao,"phục vụ tốt, nhân viên hỗ trợ nhiệt tình, đồ ăn ngon, sạch sẽ và an toàn vệ sinh.",19,2,2,2,0
5 sao,"phục vụ tốt, đồ ăn hợp miệng, đặc biệt trà sữa ngon.",12,2,2,0,0
5 sao,"không gian thoáng, đồ ăn đa dạng, nhân viên nhiệt tình",11,2,2,2,0
5 sao,"quá ngon, xịn sò, đồ ăn phục vụ liên tục",10,2,2,0,0
3 sao,"đồ ăn rất ngon, nhạc hay",6,2,0,2,0
