place_name,user,rating,time,text
Gà nướng lu Việt Hương 2,Uyên Lê,4 sao,3 tháng trước,"Không gian quán rộng
Phục vụ nhanh
Gà nướng lu đem lên không nóng, bị nguội á.
Thịt gà mềm, vị hơi nhạt nhoà
Gỏi ngó sen theo mình không ngon, vị nhạt, ngó sen không giòn mà hơi già, hành tây vị hăng. Tôm với mực thì tươi"
Gà nướng lu Việt Hương 2,Phúc Hòa Phan,5 sao,6 tháng trước,"Quán ở vị trí khá dễ tìm, không gian rộng rãi, thoáng mát. Đồ ăn ngon, menu đa dạng, đủ các món nhậu, lên món khá nhanh. Nhân viên dễ thương, thân thiện, nhiệt tình."
Gà nướng lu Việt Hương 2,Đạt Tạ,4 sao,4 tháng trước,"Ăn từ hồi sinh tới giờ với thương hiệu này tầm 2013. Lúc đó chi nhánh ở lê quang định cạnh tranh với quán gà nướng bên cạnh. Quán bên cạnh thì chỉ bán mỗi gà nướng còn bên đây tân tiến hơn ngoài gà nướng còn bán nhiều món khác nên phù hợp cho hẹn bạn bè, người thân gia đình. Đồ ăn khá ok, gà nướng ăn thơm và tươi vừa đem ra đã thấy đói bụng. Nhân viên thân thiện phục vụ tận tình rất dễ thương. Quán có không gian rộng rãi thoáng mát. Nhà vệ sinh cũng sạch sẽ tươm tất. Có bãi giữ xe riêng bên cạnh"
Gà nướng lu Việt Hương 2,Nguyễn Ngọc Hợp,4 sao,một năm trước,"***Một số gợi ý của Hope khi đi quán này
1. Quán rộng có bãi giữ xe bên cạnh, đi nhóm đông tiệc tùng quán có đủ sức chứa
2. Nhân viên phục vụ nhanh nhiệt tình dễ thương
3. Chỉ riêng về đồ ăn nếu ai mong đợi đây là quán gà thì gà sẽ xuất sắc thì không nha. Gà ở đây nướng vị ăn bình thường. Da gà không giòn, phần thịt nướng chín nhưng còn hơi hồng. Lúc mang ra không còn nóng, bánh bao chiên kèm gà cũng không thơm ngon, bay mùi bột cũ. Quán bán khá nhiều món khác nên chất lượng món gà có thể vì thế mà không còn ngon nữa. Nhưng có lời khen cho một vài món quê trong thực đơn như rau luộc trứng lòng đào."
Gà nướng lu Việt Hương 2,Kiệt Đào Đình,5 sao,một năm trước,"Nhà mình có tiệc giỗ là hay đặt gà ở đây. Gà nướng ko bị cháy. Thịt mềm, ko bị khô, vẫn mọng nước bên trong. 1 phần như vậy đủ cho 2-3 người ăn, có kèm rau răm, đồ chua, sốt nước chấm. Giá cả ổn"
Gà nướng lu Việt Hương 2,NOBEL / BENNN,5 sao,5 tháng trước,"Ngon!
Không gian rộng thoáng hơn chi nhánh 1"
Gà nướng lu Việt Hương 2,Ngọc Võ,5 sao,9 tháng trước,"Đồ ăn ngon, giá phải chăng. Gà nướng vẫn mềm, không bị khô. Mình kêu thêm 1 cái lẩu nữa, 2 người ăn không hết luôn 😄. Đi ngay lễ quán còn tặng thêm dĩa trái cây 🍉 dễ thương quá chừng 😆. Sẽ ghé lại"
Gà nướng lu Việt Hương 2,Thanh Tâm,4 sao,3 năm trước,"Quán này OK nè
- Không gian: rộng rãi, bãi giữ xe rộng, có mái che. Chỗ ngồi ăn thoáng mát. Hôm team đi quán ít khách, ngồi rất thoải mái
- Món ăn: ngon. Gà nướng ướp thấm vị, các món nhậu ổn, ai ngồi lâu cứ làm dĩa khổ qua chà bông là tới sáng =))
- Phục vụ: nhiệt tình"
Gà nướng lu Việt Hương 2,Thảo Nguyên,1 sao,3 tuần trước,"Order gà với cơm lam mang về kêu đợi 25 phút, mình ok và đợi, cũng có nhắc mấy lần là đã có cho mình chưa, thì kêu đợi nướng cơm lam, đợi hơn 40 phút xong ra kêu quên nướng cơm lam kêu bù bánh bao, mình không chịu mới đi nướng cơm lam rồi 10 phút sau lại kêu số lượng cơm lam không đủ số lượng mình order. Nói từ đầu là không nướng được cơm lam đi để mình khỏi đợi. Rất không hài lòng và sẽ không bao giờ muốn quay lại."
Gà nướng lu Việt Hương 2,Tung Nguyen Thanh,5 sao,2 tháng trước,"Gà ngon, đồ ra siêu nhanh. Nhân viên nhiệt tình."
