rating,text,word_count,food,service,place,cost
1 sao,"chình nấu măng cực tanh, tư vấn món ăn vô trách nhiệm.",12,1,1,0,0
5 sao,món ăn rất ngon giá hạ xuống tí nữa thì xuất sắc.,12,2,0,0,3
4 sao,"nêm nếm vừa miệng, giá cả hợp lý",8,2,0,0,2
4 sao,"có chỗ đậu xe hơi, phục vụ ân cần, đồ ăn tạm được",13,3,2,0,0
2 sao,"lịch sự giá phải chăng, không gian rộng",8,0,2,2,2
5 sao,"t rất không thích ăn quán nào gần nhà nhưng trừ quán này. trời ơi tuần nào cũng phải ghé đây làm vài ly sinh tố lúa mạch, bởi vì mồi rất ngon. không seeding gì đâu nhé. quán làm đồ ăn chất lượng ổn định.",46,2,0,0,0
4 sao,"cập nhật 02122024 quán ốc nam việt đã đổi thành quán ốc - nướng hương biển rồi nhé mọi người ơi. chủ quán dễ thương, nhiệt tình, đồ ăn thì tùy món, có món ổn, có món cũng chưa ngon. cá trứng chiên và ốc móng tay hơi ốm. riêng ốc sốt trứng muối, ốc sốt me thì sốt ngon, mọi người có thể mua thêm bánh mì để ăn cùng sốt. - quán ốc đa dạng món, chỗ ngồi rộng rãi, thoáng, mát mẻ. nhà vệ sinh sạch đẹp, có máy lạnh. mức giá cũng hợp lý. có cả vị trí ngồi ở tầng trệt lẫn trên lầu.",109,3,2,2,2
4 sao,"mình đến đây với gia đình nhỏ, gọi món tưởng phần vừa ai ngờ đâu quá trời luôn, ăn muốn thở không nổi. giá ổn áp, đồ ăn nhiều nè, nhân viên dễ thương. ở đây có dịch vụ nhận đặt bàn sinh nhật hay tiệc và trang trí free nhé mọi người. quán có lâu nên ai muốn thoáng hơn có thể lên trên nhé. mình thấy không gian quán rất thoáng và thoải mái, vị đồ ăn cũng ổn",81,3,2,2,2
4 sao,"2024 quán đã đổi tên và chủ sang thành hương biển món ăn tạm ổn nhưng khẩu phần hơi ít với giá gần 90 vnd 1 dĩa như vậy. quán hơi khuất phía trong tại phía trước đang tu sửa đường nhưng dự kiến là mặt tiền thẳng tiến. ngồi tầng 2 mái cao nên cực thoáng, có không gian ngoài trời ở tầng phòng vệ sinh lắp hẳn máy lạnh. thức ăn lên nhanh, đậm vị, cay nên nhâm nhi đã. phục vụ thay đá nhiệt tình, có điều gắp nguyên cái gắp đá vô ly để lấy đá bị tan nhỏ ra thì hơi mất vệ sinh tý. có nhạc nhưng hơi nhỏ. không phải mùa nên không biết có trang bị màn hình chiếu hay không. nhìn chung cũng ổn áp về giá và không gian.",139,2,2,2,2
3 sao,"tôi đi buổi tối, quán thoáng và rộng. lên món hơi chậm và rời rạc. ốc tỏi sốt tiêu ngon, hào cũng khá. giá cũng bình dân chứ không mắc",30,2,1,2,2
