rating,text,word_count,food,service,place,cost
5 sao,"quán sạch đẹp gọn gàng. nhân viên thân thiện nhiệt tình, sẽ quay lại quán típ.",16,0,2,2,0
1 sao,"hải sản không tươi, cá hồi bàu ngư đều tanh và khong tươi. sushi thì dở. cá hồi sốt cam ngọt như chè.",24,1,0,0,0
5 sao,món ăn rất ngon. mình đã đi ăn khoãng 20 cửa hàng sushi nhưng koi là số,18,2,0,0,0
4 sao,bánh mực chiên ổn. cuộn cơm cá hồi phô mai ổn. còn lại bình thường,15,3,0,0,0
5 sao,tại sao akakoi không có app đặt hàng để giao qua app mà lại lấy số riêng nhắn zalo đặt đơn bên ngoài như vậy?,25,0,0,0,0
5 sao,"món ăn ngon, phù hợp cho các bạn đang có ý định kiểm soát cân nặng",16,2,0,0,0
5 sao,quán ruột của mình nhé . anh chủ hiền rất quý khách . chúc tiệm càng phat triển mạnh,19,0,2,0,0
4 sao,lúc đông đồ ăn lên sẽ rất chậm. mấy bạn nhân viên đôi khi sẽ không để ý đến bạn.,20,0,1,0,0
4 sao,"thức ăn cũng bình thường! giá cả hợp lý, phục vụ hơi chán.",13,3,1,0,2
1 sao,"tệ, đồ ăn lên lâu cực kì. 40p chưa lên được món thứ 3",14,0,1,0,0
4 sao,"nhà hàng lịch sự, món ăn khá ổn, giá cả hơi mắc.",12,2,0,2,1
4 sao,trang trí món ăn bắt mắt. khẩu vị ngon .chỗ ngồi tạm ổn,13,2,0,3,0
5 sao,ăn ở đây nhiều lần rồi . rất tuyết vời hihi,11,0,0,0,0
5 sao,"giá ổn, món ăn ngon, phục vụ chậm",8,2,1,0,2
3 sao,nước chấm ngọt. sinh tố bơ xay nhiều đá nên uống không ngon,13,1,0,0,0
5 sao,"đồ ăn tươi, ngon, nhân viên nhiệt tình",7,2,2,0,0
4 sao,đã ăn rất nhiều lần 710 điểm .,8,0,0,0,0
1 sao,nhân viên nói xấu khách hàng cái wth ?,9,0,1,0,0
5 sao,"quán sạch sẻ, món ăn ngon",6,2,0,2,0
4 sao,quán có đồ ăn ngon,5,2,0,0,0
4 sao,quán bầy trí nhìn ấm cúng,6,0,0,2,0
5 sao,"ngon, giá hợp lý",4,2,0,0,2
4 sao,nhân viên tiếp đón nhiệt tình,6,0,2,0,0
1 sao,làm món lâu bà cố,5,0,1,0,0
4 sao,không gian quán hơi nhỏ,5,0,0,1,0
4 sao,"ngon, trang trí đẹp",4,2,0,2,0
5 sao,món ăn khá ngon,4,2,0,0,0
5 sao,không gian đẹp,3,0,0,2,0
4 sao,"ngon, giá hợp lý",4,2,0,0,2
5 sao,"sushi tươi, giá mềm",4,2,0,0,2
5 sao,đáng đồng tiền,3,0,0,0,2
5 sao,tốt,1,0,0,0,0
5 sao,ngon,1,2,0,0,0
5 sao,"quán ăn ngon, giá cả mềm hơn tokyo deli nhé mọi người",11,2,0,0,2
5 sao,"gần chỗ làm nên đi thử, đồ ăn ổn, không gian đẹp",12,3,0,2,0
5 sao,"đã ăn nhiều lần sashimi tươi, sushi hợp khẩu vị, giá ổn menu nước đa dạng",16,2,0,0,2
5 sao,"akakoi là quán ruột của gia đình mình mỗi khi thèm đồ nhật. vị trí: ngay khu đắc địa phan văn trị, gò vấp gần emart, rất dễ tìm. điểm cộng lớn là chỗ đậu xe máy thoải mái, có nhân viên trông và dắt xe rất nhiệt tình, nhưng ô tô thì hơi khó vì mặt tiền quán nhỏ, và đường phan văn trị hay kẹt nên không phù hợp để đậu oto trước quán ăn lâu được. không gian: trang trí đậm phong cách nhật, ấm cúng và yên tĩnh. rất phù hợp cho những buổi sum họp gia đình hoặc nhóm bạn nhỏ. đồ ăn: thực đơn cực kỳ đa dạng. nhà mình hay gọi bánh xèo nhật và pizza akakoi, vị rất đặc trưng và ngon, mọi người nên thử. sashimi ở đây tươi rói, trình bày trên thuyền nhìn rất bắt mắt và sang trọng. giá cả phục vụ: giá rất hợp lý so với mặt bằng chung đồ nhật hiện nay. nhân viên đông, lên món nhanh, không phải đợi lâu dù quán có đông khách. quán có xuất hóa đơn thuế và đầy đủ các hình thức thanh toán, rất chuyên nghiệp.",200,2,2,2,2
5 sao,"quán giá cả phải chăng, phục vụ tận tình, tôi đến nhiều lần và rất hài lòng",17,0,2,0,2
4 sao,"một nhà hàng nhật bản giá cả phải chăng với chỗ ngồi trên cao! mặc dù là một nhà hàng nhật bản địa phương, bạn vẫn có thể thưởng thức những món ăn với giá cả rất phải chăng.",39,0,0,3,2
5 sao,"sushi ngon, thực đơn phong phú",6,2,0,0,0
4 sao,"nội thất mang hơi hướng nhật bản, nhưng tinh thần của quán vẫn được giữ nguyên. sushi ở mức trung bình. cá nướng thì ngon.",25,3,0,3,0
