place_name,user,rating,time,text
Bánh Canh Cua-Súp Cua Út Trang,Clauda,1 sao,3 tháng trước,"Là một du khách nước ngoài đến thăm Thành phố Hồ Chí Minh,
tôi đã có một trải nghiệm rất khó chịu tại nhà hàng này.

Ngay từ lúc tôi cố gắng gọi món, nhân viên đã thô lỗ và nói chuyện cộc cằn, hung hăng. Thái độ của họ khiến tôi cảm thấy không thoải mái và thậm chí bị đe dọa. Cảm giác như thể tôi đang làm phiền họ hơn là một nhà hàng phục vụ khách hàng, như thể họ đang làm từ thiện chứ không phải đang kinh doanh.

Thêm vào đó, chất lượng thức ăn rất tệ. Sau khi ăn món hoành thánh, tôi bị ngộ độc thực phẩm, mà tôi tin là do vệ sinh kém và chất lượng thực phẩm thấp.

Vì những lý do trên, tôi khuyên bạn nên tránh xa nhà hàng này. Tôi không khuyến khích bạn đến đây vì sự an toàn của mình."
Bánh Canh Cua-Súp Cua Út Trang,vĩnh thành Mai,1 sao,3 tháng trước,"Mình có đặt súp cua ở đây trên shopee food. 1 phần có nửa hộp.
Nhưng điều kinh khủng nhất là trong đó có xương bị ăn nham nhở. Nghi là phần ăn chưa hết của ai đó đổ vào nồi bán tiếp."
Bánh Canh Cua-Súp Cua Út Trang,Mai Nguyễn,1 sao,6 tháng trước,"Mình hay đặt ở đây ăn tối - nhưng hôm nay bánh canh bị chua, có mùi thiu. Mình có liên hệ sđt nhưng không nhận được phản hồi (thuê bao). Rất thất vọng"
Bánh Canh Cua-Súp Cua Út Trang,Nguyễn Tường Vy,1 sao,11 tháng trước,"Tệ thiệt sự, mình đặt đơn trên Grab ghi chú kỹ Súp cua không hành ngò. V mà giao tới một đống hành ngò. Chủ quán không thèm đọc ghi chú, xem thường khách. …"
Bánh Canh Cua-Súp Cua Út Trang,Ngan Ming,1 sao,3 tháng trước,"Càng ngày Càng dỡ, 73.000/1 tô ăn kg ra gì có kêu kèm nước sâm cũng xót chai nước sâm, mà nước sâm cũng 20.000 chứ đâu có rẻ."
Bánh Canh Cua-Súp Cua Út Trang,Nguyen Thu,1 sao,5 tháng trước,"Mình mua hộp súp cua thường 28k- chắc c quán múc cho mình chuaq tới nữa hộp, mình là ng hay ăn chấm gia vị nhiều- mà ăn còn vị mặn và bột ngọt qá nhiều"
Bánh Canh Cua-Súp Cua Út Trang,Sweet Cassie,1 sao,5 tháng trước,"TRÁNH XA NƠI NÀY
Họ lừa đảo khách du lịch và những người nhẹ dạ cả tin bằng cách mang ra một món ăn đắt tiền hơn món bạn gọi, nói rằng họ nghe nhầm. Sẽ không có hóa đơn nào cả nên bạn không thể cãi lại họ được.

Tất cả chúng ta đều bị lừa."
Bánh Canh Cua-Súp Cua Út Trang,Chau Tran,1 sao,một năm trước,"Mình ăn lúc 5 rưỡi chiều mùng 6 Tết . Chủ cả bán thì dễ thương , bánh canh - hoành thánh lá vẫn ổn , còn bà cô phục vụ đang ngừoi ốm thì khó chịu vô cùng , lần nào tới ăn cũng 1 cái kiểu thái độ . Lúc tới gọi món , banh canh cua thêm huyết …"
Bánh Canh Cua-Súp Cua Út Trang,an le,1 sao,một năm trước,"Làm đồ ăn mất vệ sinh
Nguyên cộng lông trong hộp bún. Lông cong queo:))"
Bánh Canh Cua-Súp Cua Út Trang,Diep Anh Vu,1 sao,2 năm trước,"Mình đặt shopee food, ở đây bán đồ cũ hay sao mà trứng cút ăn hôi ê kì lắm"
Bánh Canh Cua-Súp Cua Út Trang,Linh Huynh,1 sao,một năm trước,Giao saii mónnn. Chán thiệt sự. Bán mắc còn giao sai
Bánh Canh Cua-Súp Cua Út Trang,KULL NO1,1 sao,2 năm trước,Buôn bán gì đậu xe cũng khó khăn nữa
Bánh Canh Cua-Súp Cua Út Trang,Linh Võ,1 sao,4 năm trước,Mình mới mua bên gojek ăn cứ hôi hôi thum thủm hok ăn đc
Bánh Canh Cua-Súp Cua Út Trang,T Cole,1 sao,9 tháng trước,Cửa hàng đóng cửa lúc 7 giờ tối các ngày trong tuần.
Bánh Canh Cua-Súp Cua Út Trang,bao nguyen,2 sao,6 tháng trước,"Quán quen, lâu lâu hay ghé ăn, mọi thứ vẫn vậy cho đến khi ăn con tôm, không biết của ngày hôm qua hay hôm kia mà ăn nó bủn bở muốn hư, thất vọng thật sự!"
Bánh Canh Cua-Súp Cua Út Trang,Aka Tu La Vi,2 sao,một năm trước,"Mua ăn nhưng k ổn nha. Ngon thì 6/10.Tôi thì hay để lại trứng cút ăn sau cùng , thì trừng cút thôi mà bị hư. Làm ăn vậy có kì quá không. Tức thật. Mua rồi phải ráng ăn cho hết chán thật."
Bánh Canh Cua-Súp Cua Út Trang,Iris Tran,2 sao,2 năm trước,"Chủ quán bán không lo bán, toàn lo chửi lộn vs nhân viên. Thái độ cau có, khó chịu. Hôm mình ăn gọi tô đầy đủ, nhưng lúc mang ra không hề có nấm & huyết."
Bánh Canh Cua-Súp Cua Út Trang,Quyên Tú,2 sao,2 năm trước,"Làm đổ bánh canh lên xe khách và nguyên quán không một ai quan tâm dù khách nch lịch sự, thậm chí đứng trước mặt người bán khều nhưng đổi lại vẫn 1 thái độ lơ. Nên nhớ có khách đến ăn thì quán mới có chi phí để hoạt động ạ"
Bánh Canh Cua-Súp Cua Út Trang,PN Ng,3 sao,8 tháng trước,"Càng ngày chất lượng càng đi xuống. 40k ăn tại chỗ 43k hộp về. Tô bây giờ rất ít thịt cua ăn nghe ko có mùi vị bánh canh cua luôn, thứ duy nhất ""bánh canh cua"" chắc là nước dùng đỏ đỏ thôi. …"
Bánh Canh Cua-Súp Cua Út Trang,Jack CJ Tan,3 sao,2 năm trước,"Chuyến đi ẩm thực của tôi đã dừng chân tại quán ăn này, món ban canh cua khá ngon và nhân viên phục vụ rất thân thiện. Tuy nhiên, môi trường cần được cải thiện, nhưng nếu bạn không ngại thì đây là nơi đáng ghé thăm."
Bánh Canh Cua-Súp Cua Út Trang,Carolin,3 sao,2 năm trước,"Lưu ý: Tôi chỉ mới ăn bánh canh cua một lần vào bữa sáng. Điểm 3 dựa trên sở thích cá nhân. Chất lượng nguyên liệu thì tuyệt vời 👍

------ Bánh canh cua (tô giò, chân giò) rất đậm đà hương vị, và càng ngon hơn nếu bạn thêm chút nước chấm chua ngọt. Nước dùng và bún đặc hơn so với phở, gần như sánh như thạch. Tôi thấy nó khá béo ngậy và ngọt hơn so với hầu hết các món súp buổi sáng khác. Tôi rất thích phần protein và thịt chân giò (rất mềm). Món này chắc chắn là lựa chọn tuyệt vời nếu bạn đang tìm kiếm một món ăn thịnh soạn và đậm đà vào buổi sáng.

Tôi hiểu tại sao nhiều người lại thích món này. Rất đáng để thử một lần xem có hợp khẩu vị không. Tôi thì thích nước dùng loãng hơn."
Bánh Canh Cua-Súp Cua Út Trang,Hung Doan (Doanquochung),3 sao,4 tháng trước,Lâu ghé lại ăn ko giống như trc chắc quán đổi chủ hay đổi bếp rồi
Bánh Canh Cua-Súp Cua Út Trang,Lân Phạm,3 sao,8 tháng trước,Thức ăn món mặn mà nấu ngọt như chè.  Cua vụn và bé bé xinh xinh như...còng.
Bánh Canh Cua-Súp Cua Út Trang,Yen Nguyen,3 sao,Thời gian chỉnh sửa: một năm trước,"Đặc biệt 55k, ngon và giá tốt."
Bánh Canh Cua-Súp Cua Út Trang,Hồ Thiện Hiếu,3 sao,8 tháng trước,chưa đủ wow
Bánh Canh Cua-Súp Cua Út Trang,Thu Anh,3 sao,một năm trước,Cô chủ có vẻ khá cọc cằn khi tụi mình ghé ăn
Bánh Canh Cua-Súp Cua Út Trang,Nhu Nguyen,4 sao,3 tháng trước,"Bánh canh cua ngon, mình thích nhất huyết với chả cá.
Giá bình dân."
Bánh Canh Cua-Súp Cua Út Trang,Mike Nguyen,4 sao,một năm trước,"Thấy chị chủ bảo quán mở từ 6h sáng đến tầm 5h chiều 1 số món đã hết nên đến sớm sẽ có đủ món.
Quán cũng có khá nhiều shipper đến lấy đồ ship về. …"
Bánh Canh Cua-Súp Cua Út Trang,Toki Nguyen,4 sao,2 năm trước,"Một địa điểm khá ổn để thưởng thức bánh canh cua! và cả hoành thánh nữa! - giống như phở Việt Nam với thịt heo nhưng thay vì bún, bạn sẽ được ăn bì hoành thánh. Khá ổn!

Đây là một địa điểm khá nổi tiếng. Có rất nhiều tài xế Grab và mọi người tranh nhau đi hết chỗ này đến chỗ khác!
Một quán ăn mang phong cách địa phương. Có mái che, bàn ghế."
Bánh Canh Cua-Súp Cua Út Trang,Thái Đại Nguyễn,4 sao,2 năm trước,"Bánh canh ngon, đầy đủ, giá cũng oke. Mình người bắc vô thấy ăn cũng ổn, không xuất sắc lắm."
Bánh Canh Cua-Súp Cua Út Trang,Đa Diện Miêu,4 sao,3 năm trước,"hộp 30k trứng cút óc heo, hơi ít chưa được nửa hộp, cua thật lẫn trứng, ăn cũng ok"
Bánh Canh Cua-Súp Cua Út Trang,Thùy Nguyễn,4 sao,2 năm trước,"Bánh canh ngon, nhiều topping. 1 tô tầm 50-60k. nếu đi trễ quá có thể sẽ hết bánh canh chỉ còn súp cua"
Bánh Canh Cua-Súp Cua Út Trang,Phương Lê Trần Hoàng,4 sao,2 năm trước,"Quán khá nổi nên mình ghé thử. Quán ko được sạch sẽ lắm nhưng đồ ăn ngon, trà đá cũng dịu"
Bánh Canh Cua-Súp Cua Út Trang,An,4 sao,một năm trước,Mình ăn súp cua nêm nếm ngon sơ với tầm giá.
Bánh Canh Cua-Súp Cua Út Trang,Giau Tran,4 sao,một năm trước,Bánh canh cua ok. Nhưng sẽ ngon hơn nếu làm nước nóng hơn.
Bánh Canh Cua-Súp Cua Út Trang,Audio Truyện,4 sao,một năm trước,Ăn okay 👌 …
Bánh Canh Cua-Súp Cua Út Trang,Mustang Fury,4 sao,2 năm trước,"Ngon và rẻ, còn gì hơn nữa chứ. Chắc chắn mình sẽ quay lại đây."
Bánh Canh Cua-Súp Cua Út Trang,MONICA T,4 sao,3 năm trước,Bánh canh cua ngon.
